Item Name,Effect,Location
Alghoul Decoction,Adrenaline Points are generated more quickly than normal until the first successful enemy attack,"Read the book Ghouls and Alghouls, sold by the Novigrad book seller"
Ancient Leshen Decoction,Each Sign cast increases Stamina regeneration for the remainder of the fight,In a chest in the river northwest of the Woesong Bridge signpost in White Orchard and in other random locations
Arachas Decoction,Reduces damage received based on armor and inventory weight: less weight carried and lighter armor means less damage is taken,Sold by Herbalist in Novigrad
Archgriffin Decoction,"If any Stamine is available, strong attacks consume all of it and reduce the struck foe's Vitality by 5% after their normal damage is calculated",Randomly found in treasure chests
Basilisk Decoction,Applies a buff increasing the intensity of a randomly selected Sign at dusk and dawn. Lasts longer than other mutagen decoctions,"In the Abandoned Tower in Velen, west of Heatherton"
Black Blood,The Witcher's blood injures Vampires and necrophanges when they wound him.,Recipe found in basement of Drahim Castle. Can also be bought from herbalist in Novigrad (south)
Enhanced Black Blood,Witcher's blood injures vampires and Necrophages when they hurt him,Sold in Novigrad by halfling herbalist and Elector's Square merchant
Superior Black Blood,"Vampires and necrophages start bleeding when near the Witcher. In addition, the Witcher's bloog injures and knocks them back when they wound him.",Sold by Gremist in Skellige
Blizzard,Improves reflexes and prolongs reaction time.,Refugees' Camp in Velen near Lindenvale (east) and sold by Halfling Herbalist in Novigrad
Enhanced Blizzard,Improves reflecxes and prolongs reaction time,"Part of Oxenfurt Drunk contract, house in Oxenfurt. Also sold by Halfling Herbalist in Novigrad"
Superior Blizzard,"Whenever you slay an enemy, time slows for a short period. If 3 Adrenaline Points are available, during this period actions don't deplete Stamina",Sold by Gremist in Skellige
Cat,Grants sight in total darkness.,Starting recipe
Enhanced Cat,Grants sight in total darkness (extended),Sold by Alchemist in Rannvaig
Superior Cat,Grants sight in total darkness (extended),Sold by Alchemist in Rannvaig
Chort Decoction,Provides complete resistance to the Stagger effect and reduces the knock-down effect to Stagger,Quest item received as part of Contract: Mysterious Tracks
Cockatrice Decoction,All alchemy creations can be used one additional time,Read the book Remarks on Basilisks and Cockatrices
Drowner Pheromones,Drowners will not attack the witcher.,"Quest item. Sold by Herbalist in Kaer Trolde, Ard Skellig / Skellige"
Earth Elemental Decoction,Increases the Witcher's resistance to Vilaity-depleting critical effects applied during combat. The resistance level rises the longer the critical effect is applied.,Sold by Herbalist at Refugees' Camp in Velen after an Abandoned Site is cleared
Ekhidna Decoction,Performing actions that consume Stamina regenerates Vitality,"Random loot. Also, by reading the book Journey to the End of the World"
Ekimmara Decoction,Damage dealt to foes regenerates Vitality,Drahim Castle or the Ransacked Village near White Orchard and other random locations
